r,g,b
79.96237856190105,149.44302139582462,50.55993939324667
79.68103976169962,173.63292620400617,68.86157264865842
68.26362272051679,159.1383606202579,65.99895893154931
87.52800754349771,194.49498724337818,79.65781434694576
80.00996802826045,157.23249208975332,57.872888663121216
152.94026428419346,380.3655451589449,172.33918265048763
64.27138504089845,115.64547053562897,37.427740539207775
136.48801946818995,212.2787369790712,58.81729613589869
140.67282171416593,252.3480308860929,85.06775214875236
262.653124900922,385.5784675086607,100.77989277413461
121.73559724644917,197.5529980514829,57.99948546415619
208.78156073925288,417.81850265420053,161.754937052453
216.43593980300417,441.4185814990148,173.8651155650716
97.312889388919,196.792170158841,73.89823903535044
116.7650634572484,211.41839615084749,72.67960056036478
150.3350918892316,229.11310502654837,62.08387108880093
64.98271778290507,146.50825323201076,60.458200400653475
147.43370443534357,304.2148778733391,119.58630599204453
154.6288416500002,303.3684872186284,114.01787089782806
158.70979147961023,339.88733134584095,138.18521965090525
131.89713030037404,252.0630314439105,91.32671453561602
227.70211282599203,395.60650131338423,131.93024167766123
220.76952109493402,380.55477486470863,125.51290239636685
167.55729736529665,343.4385460396305,134.73192823563627
145.9973718034895,260.1660298846407,87.32442166548634
161.36812490753024,304.9634612610095,110.82609254562136
81.05088256735651,189.25777328887065,81.00089612732872
246.32143465016915,439.4945532954511,151.77662451592323
119.02295703001069,208.50571883796604,68.45621676242287
55.4676878415682,120.0923200580694,46.00315221994437
301.5774718264859,450.02371924966855,121.82755209197963
185.28198238662415,336.106373305497,117.00373413021354
171.54425151844293,259.5870190631941,70.43602345782169
140.81140240840048,217.8148526469546,60.956072913821686
96.24120812278323,180.21357643168403,63.19387951033155
165.3123977709824,272.6548585042081,83.95534864644112
77.11542678359585,142.6499995322965,48.18767461427972
108.55770405277897,235.14277964328994,94.15608033678456
84.3595341641227,171.36668948335858,64.66385719913822
171.73583288990577,299.17773132434013,99.36439912547132
223.61784840514372,536.9948895014843,239.94579177579075
213.12487740491468,551.9081292514741,267.9556254976411
232.23511255450867,528.1649511667736,222.45053206211338
227.43775728418584,532.8716931237129,231.8535269745791
222.8031558916272,537.7711605686629,241.50548948895425
107.0520674532706,243.07269456382824,102.07292676772518
129.2649847887069,324.9925052373433,146.88634712527244
153.3473868547908,350.6586145449607,149.95254364972186
137.4088959641961,302.3459162185512,125.15851435345672
133.47694056264922,282.2936378817455,112.85070088433146
76.31051421629128,139.01980098085326,45.60573545600009
145.54002438193132,266.12236466433706,93.39562839325815
142.22097071017535,335.6548630916479,146.52627440069548
109.91935712828277,240.1931726190403,97.29235935338814
81.92101700806995,148.97117176868534,49.500259285758
97.70653525930122,185.17350717820466,65.86785298208288
123.22145604941782,251.60961521519883,97.61035796371112
137.79246641120238,325.93655829820597,142.31116910901966
86.61893567382492,169.5702903055573,60.766329629787954
103.34779948102994,180.55961043165283,58.68445280433591
67.61921438294969,142.61392659492122,54.31656230458066
130.39306583528634,280.4557503076294,113.51489048625739
55.22641243556279,127.33851481009756,52.078632623844534
121.40861919938196,275.10108579749976,116.47775344597748
274.2207697352831,420.0408279635674,118.30485770322844
57.78399078394395,116.0155732220077,40.89477362023226
100.80643145838785,228.76709245477954,95.99601190456436
107.9983768872,187.50925669700308,59.56926591179412
259.5806684395536,400.2973893351525,113.61164424865866
105.49870089929267,192.59971171376785,66.03125104395585
208.43971159928842,448.9524088639754,184.80478820335847
110.84722203346246,184.08104844202018,56.43526213325358
227.5869193334217,383.7353166774419,123.48262228146925
121.171780535055,237.8122589789911,89.15870945460775
169.68855318442576,383.0103294972046,162.829626140069
225.3193188779087,535.3301911563374,236.61834146660735
221.43131769896064,540.3997094088091,246.26142925071463
224.72907625850593,535.3763804405673,236.916023406109
218.37005776955826,543.138033666076,251.83455738636218
225.92961531639907,535.77200960295,237.09911362870042
208.46112205347174,401.6867831433407,152.10948897887215
121.56086874520706,261.859425497235,105.35105344489493
180.0940353938212,358.24878963656806,135.85014497781836
156.92426384954962,326.1443481977287,128.82468563517267
244.71272436412448,434.2417006745264,150.0538237442681
117.76823598087013,273.66780671006006,116.96669051705845
219.99428857233585,417.67419373862475,154.08540411083328
208.70990837969285,459.53702474801383,191.9032795391599
145.8715645584245,339.25416258343074,145.38912235437647
115.36552909124407,245.13271231741288,99.07045813159446
168.18729020400266,393.3052353286589,173.24188435446888
153.45369024617844,352.8135555353693,150.3156128862818
155.750918541951,348.80082409943697,148.40636969192425
207.93630691152555,477.1347817579801,204.72413250396767
180.51901559675167,418.0522672628409,183.09339943136322
148.82886493201732,376.46841746527843,175.42351668614748
141.0041193932397,291.643905019705,113.34097894064082
203.14692551892293,474.93099184879117,208.37625994594163
212.34863803596477,452.73361857524975,181.407498938773
176.73657930632515,351.7108705315137,132.83413106531737
142.48303776364244,343.3617300426692,152.71366829581132
234.67795252334759,480.8916547902927,190.36665660589145
165.59036139407323,370.9872900915294,154.52833946083226
189.6459864423794,400.6294868295826,164.63926489297296
211.89762531026938,439.1794630562223,172.91881200797138
197.38890006786016,462.2571477002479,202.74788256622713
169.44468214910606,404.6905460439916,181.13113359016978
196.7448284657809,449.5198799554497,194.73755713622091
167.22649472799824,371.5719294631501,155.32175892258118
179.42421178799387,395.0546226247453,165.09157857834325
155.9345530891003,343.65396009172287,139.68424737015295
81.00326000931622,195.47453365504546,85.55267082928768
123.45525289639548,251.75403228853665,96.1247804837194
173.01266802644707,342.8745207660731,131.4613887966297
205.47538805112885,380.5206258147644,136.14683643591158
194.20914465872247,406.5548220524882,160.98605040729353
94.20005916784683,184.68083902983471,67.96726029055293
213.60533993247702,490.592342379232,211.88404985513435
188.54526362988042,369.83084557579417,139.17917781696227
168.1640325405597,378.91086555489284,162.12476686293599
190.5987588419719,433.6846364842813,184.03502865606347
148.57722558305335,347.05263210526135,151.4596817834469
108.57302092108237,248.18213541988678,106.1306674418326
150.00161428205993,353.29899679030615,156.90454732465565
152.49542703603575,332.12115236812286,135.23171305385546
162.97755449047142,351.19025650618374,143.62658086300004
148.2926634496972,340.8300562169324,143.9512672068646
225.55846841239108,369.51346999116276,114.96720573942122
167.98466986294557,373.01185421509433,159.6589533820579
133.61309597664402,266.82354621682293,102.00087838337328
177.6592302268331,388.3190575430338,160.25567488378155
216.59188209675963,477.19813026769185,199.23483201703192
226.73600303946176,384.1978600461237,125.02833996882632
194.19681117057718,432.0936259983161,181.89339437126745
191.40855806638794,417.71742581403004,176.89574104067847
134.94860822335824,300.28134103950987,123.42447843973017
162.96205515522507,367.0731819771943,156.2663680449165
183.6533024144689,442.6028996243801,199.50240047719217
213.46595568514135,430.1490961099239,167.65184969161913
127.25104696285149,300.60028994138986,132.22305261859043
144.4464391597557,345.75816261114085,152.78552866368005
131.23427864562586,274.54171568229964,107.99777902993917
210.23953276855633,393.2429634842303,141.55072169518226
159.88283106787324,371.7864081002637,162.1763137993257
187.899519958702,437.87219310126653,189.8821162467889
181.00207297596637,404.42982345568305,166.5383364166163
158.77538791450417,339.89080730221787,138.70547930538675
202.35105419981556,456.57449381372254,194.8899099064782
219.40195902900226,475.65926581116395,196.5069603499329
194.2789958552752,401.79941238028397,157.3489987497274
228.4094115983127,519.6518106280078,225.69718767925107
170.96869136880738,409.3016971029289,181.06934495497887
216.90236948836377,477.02188894168995,196.17136005934822
196.63765931552993,401.0114592669737,158.12989065106254
181.6976636299729,454.5747163861951,215.19585442315665
182.6055630683044,379.8245219535682,151.13976638889187
209.494853474148,499.6488299800938,220.7548918072375
186.16673704297222,413.27993762586306,169.9238894869834
144.44005312164776,337.2626243433322,145.51053432372544
141.9039148847775,294.88633271537526,118.62953483563959
140.95979580574087,308.17226711725544,126.94216406391033
167.96308478979705,351.11379497373224,138.07200322469956
214.6665210522443,462.48516841878853,193.06393581812236
150.35300268795842,312.88284479073906,125.79122786029038
174.73492946066972,394.54210118053135,167.2243794783922
163.91557553776605,377.52337960852657,163.1692740098843
99.00410177773556,208.17479075302228,80.67473081956105
199.94913998756175,465.53154023807446,199.97265806704075
161.55174803973273,373.53883303895293,161.295625618786
219.44419952936454,445.26468458918737,175.52613792128813
137.2081282029994,246.88135384130078,84.53923293966515
158.0285734167773,361.33569840524336,157.2822032581462
212.517333104977,439.64234439263345,173.47529961869333
194.3052343002114,431.36665949831485,182.33343517824244
220.00197928920596,426.62886146250156,156.81645389200764
225.0968843108196,451.9300001328185,170.01578123083686
139.5919632666256,311.08384225174274,129.21246981316392
91.15626731011412,197.8303477577907,79.28693231748375
207.23893408565095,453.8135317657005,190.05092825538526
125.83029557731426,241.01891031431984,86.39753743158106
194.69658786272913,456.76419641057345,198.3641551608876
204.96283766555382,480.47886098238865,209.03522670941385
189.42812284816435,407.62355729217643,168.13604084589974
153.6113682678724,318.86767689788456,123.14040064893369
154.7909053574894,320.1489463342712,126.62699684101322
198.12126459377,443.53294738487995,187.11366872138288
183.55302077058545,358.6586491932228,135.24301371810708
207.1114186352695,373.5210425166052,128.6516599279869
104.5678058096633,185.26462035148373,60.50187219762651
185.3224800667022,424.75356726053417,184.68577449775538
211.0348879712712,489.6653218695324,211.72038786778214
151.18108502966618,354.4840368278807,157.61578902348433
191.66668376015076,411.82210620445886,166.77292341162368
194.3914419089082,430.06697644367733,183.18864451479735
204.09427875194976,437.6981868318996,177.68398339728643
143.22723036643646,307.01946647663885,125.75259980466066
186.84702823067946,460.20436433940824,211.60318795647407
192.88219259727833,377.4314071223163,142.79013550096184
152.97638024600928,352.9503658214869,151.30632437836172
213.6579242577026,473.99880005227664,199.89032700130852
153.45929071612045,312.75467965046386,123.03278817276471
175.64925416144854,386.4894924836023,159.79967726708762
221.272397791505,415.4794201149575,150.954022886935
206.37775357306336,475.45444540068814,205.32268433506465
134.92521765972737,280.33402517165496,110.36436855854514
178.88952733366577,415.909369509047,181.2488813791155
142.84460685504152,320.4754202743231,135.90043044000728
198.8470441822103,388.9837404511805,146.54481958965746
